to;F2;10040100629;CP7;ATCC35586;DSM20624;1A4II;L1;CIP100481;DSM20344;F88;JIP 20/85 (3);F86;L3;MM 3364.01;MM 3365.01;F42;G97;L11;8.1;F4;L2;L7;JIP 169/77(3);CIP101354;CP14;JIP 07/00;LLS R 919;CIP101342;CP1;CP12;JIP 28/91;F84;G117;LLS E 6103;RFA 295;CP10;F87;JIP P04/83;JIP 05/93 (3);3Ba.2.II;JIP 23/91;JIP 19/00;RFA F54;CIP102035;DSM20342;LMA28;RFA 345;F43;9.4;JIP 14/92;IFIP 710;CP4;CP23;CP32;F73;CP11;N15;6.2;RFA 378;CP3;F33;Me I,5-02;131120027309;CP5;F1;F7;F29-1;F14;F44;F48;3BO4;5.27;C4;DSM20590;JIP 05/93;LLS E 6926
ATCC35586;336,1525086;412,4025832;62,66548155;35,49705712;52,84073834;52,85051542;179,1255751;37,21974555;35,90113987;322,6160424;41,07629918;52,40784579;42,85503758;52,80459934;104,6549413;46,85829687;256,7807507;36,88805225;16,80771558;52,07010661;44,48679928;50,61612078;9,85927532;81,30432151;84,19089097;96,2291887;85,44426426;646,1094833;78,38147474;69,52067039;36,05506293;59,90883115;47,13000527;57,05648146;34,66708939;70,29425053;51,86661973;58,21840809;24,80102792;246,6008703;60,02167476;64,59385245;71,55327532;55,25287487;57,78879754;27,93168698;27,0623206;72,45549905;155,9533961;46,08386652;30,46292593;46,42827023;584,0066562;43,1910171;37,61714291;102,1365123;84,6694203;87,69907066;32,79946812;26,25564608;54,19718686;62,47879113;53,04301193;133,5179429;68,75565309;147,5346517;44,27331078;58,58711505;41,0719041;87,49726852;37,74039923;75,97337295;55,31927487;160,5508187;160,3429419;24,17570542
CIP102035;947,9159059;855,3644996;158,3802654;56,71269838;343,1620971;80,56964765;905,8897813;57,18037735;323,9359339;905,2717443;83,66728818;215,8666447;301,1569258;100,4691087;79,84637074;80,33789355;887,8623937;65,12352873;35,56650853;534,544142;83,87971432;89,18267965;39,11429478;824,9368463;123,9193733;174,6377367;824,9368463;745,7261129;109,3911062;390,0852013;58,76689311;160,786531;90,82475843;104,7722439;68,96038777;818,536349;205,3453149;112,6201793;69,59637352;406,7487656;151,4802367;261,8067036;129,1499809;64,27456444;96,64136435;29,24998706;146,5338432;819,6783927;819,6783927;819,6783927;819,6783927;80,06592234;787,1199384;75,24921261;118,8638112;220,867343;827,9775652;131,2916988;108,84545;60,99934754;91,05216874;105,12948;104,544536;108,2704481;134,6336694;133,9755207;72,18993964;98,06810074;95,04939624;170,0811453;72,17802632;166,2745594;90,60429623;196,4945738;193,594004;142,0733313
DSM20624;941,1711922;770,0553907;122,0280265;72,37532336;146,773162;106,7856408;912,8973263;104,788613;952,173073;881,2345133;106,323625;146,5836911;152,8664744;110,8081313;84,9876527;142,9682831;200,1024279;116,2024655;56,80332098;130,63185;132,8295568;112,8907946;63,45806131;188,6696778;170,5078999;196,1620356;192,4530943;748,1261303;146,4526756;119,9220813;57,41825168;158,902847;150,510439;133,5513457;75,45653635;169,8232847;133,4795197;131,2628583;110,9201587;981,4179003;153,5075534;152,105497;146,1096456;97,17783992;307,3780769;65,94997302;98,58855523;148,477942;806,5105776;127,8169877;88,37655667;115,3957421;797,796165;120,4149079;701,8398074;230,9971985;193,3594566;187,8749277;130,6533462;115,6069182;131,9379221;123,3500761;132,0290503;86,92577142;124,1932877;140,7529283;65,4953344;151,3123289;143,7468813;332,6080236;122,6914217;193,9879602;148,2751052;221,7846338;214,7345888;167,0242863
3Ba.2.II;761,7166923;675,1559647;211,0313158;101,8126271;290,1232304;188,7407487;757,8820682;164,6336213;401,5664763;492,9180433;181,5745275;238,9753946;179,1742955;213,9536193;217,1183203;187,3811393;744,8483949;157,8843072;53,43839035;229,9571972;207,478211;204,9293197;108,1267935;261,098549;205,7441703;277,7866023;280,2096669;531,0563492;244,4722877;208,2933228;137,6403862;284,954946;256,3676449;274,280289;179,415745;203,6886782;207,6740221;205,5830667;149,1660755;383,202605;56,48365376;47,29251432;48,20293229;134,1590784;436,9198569;143,4926366;182,946716;240,0185134;548,0687548;203,2818352;155,7096182;181,15741;614,7834645;202,7161378;153,2376487;300,2147255;266,4425871;280,4319636;195,6046702;163,6414008;216,5952628;222,4510987;193,3233961;98,88522805;130,2632498;142,0114521;96,39370724;245,966207;277,2176982;176,8867555;191,6788836;182,6692334;267,4787292;495,517021;473,2291628;446,7839339
RFA 345;26,85355677;111,1230857;24,88989557;18,39672199;6,615312032;16,08850934;10,77694856;10,9742063;12,69151168;16,30670471;5,156403851;25,87062333;3,08087999;22,46591078;20,89924574;31,56971409;8,668273149;14,68503953;-6,774221716;21,5403081;17,56953218;19,18324603;-3,894894244;58,9145883;39,25898065;48,70134274;40,89022941;49,19262687;24,21367676;15,90324975;-17,72467878;20,39289034;17,13975833;27,94025196;-5,947814779;23,44183379;19,66579059;14,93203755;-36,30579681;202,187675;68,73848774;69,99138915;80,07061533;32,05687914;22,43181171;0,550092924;1,17121761;37,73152285;33,33270825;17,56764874;-14,90516184;16,75137735;25,31375467;15,5022586;9,821428606;54,37942158;55,16038847;35,6830882;-4,044011992;7,489436042;29,3363625;16,58228364;19,94677853;8,305737299;30,10340639;19,41083951;17,07966243;24,71569458;23,22055248;92,39765895;11,70498732;96,04897698;25,70337698;98,70184795;86,92233877;59,13612006
DSM20590;119,0988093;818,5313686;105,3997961;165,3307803;272,9708357;228,067444;759,9988067;163,5887379;781,5525932;781,5525932;204,1311721;311,7063307;392,2718716;205,5188409;237,5342024;203,5656806;370,1509251;171,8181904;82,28353143;276,3035906;154,1797863;210,6858708;140,5040741;262,5065231;207,4789339;298,2244958;267,3928006;612,7853916;273,27617;225,9118259;153,0822503;265,4956282;246,5563;245,4482266;136,300453;242,583311;205,3382407;249,8216344;187,3454221;845,5107727;139,0937807;148,1389134;70,01392951;144,3153922;561,9575738;131,1703;179,7849177;264,937849;567,79533;235,5882437;182,3124119;244,846395;558,2794635;282,717224;783,4236942;332,8085464;313,4425087;338,6242904;254,5974143;133,633548;150,3725267;185,3050713;162,7876395;138,2423905;174,9575713;173,041915;108,4787537;319,6551049;227,0867429;845,5107727;159,8382762;256,8929221;264,8237364;305,8743626;299,9058134;264,8729713
JIP 05/93;937,3674306;937,3674306;130,6846377;106,5857957;158,9147367;125,541468;885,6543855;109,1266883;888,8666488;888,8666488;123,5626324;435,6624013;889,3253468;132,1278899;113,2635771;129,1188964;473,1320404;113,5196649;50,71682407;175,017168;142,8157296;150,8376589;84,98702885;161,5532316;159,4569391;208,3861777;167,7465964;741,1644119;177,5659472;137,9068062;57,94603094;170,9291747;160,351676;168,658981;82,7749164;159,8021037;144,3545973;149,819188;99,82985431;937,3674306;130,8873591;146,2396578;136,8735657;91,66686162;456,9520694;101,7293689;101,7925216;160,8020943;810,4420716;146,8735616;87,52218929;165,6916717;780,5322754;229,7469674;878,3122169;191,8717245;178,3591851;182,8890866;95,05194369;143,7757989;155,6457674;161,0884331;149,223353;105,2024394;151,7335693;141,7427271;104,0754344;235,7681024;144,2490221;937,3674306;132,7485086;196,464408;175,1312657;197,4632585;201,0983933;123,1387626
LLS E 6926;936,8468014;936,8468014;133,5945017;105,1288869;161,2966021;121,3521911;890,4025024;124,1394888;874,8351739;874,8351739;138,0497147;880,5594999;880,5594999;166,449165;142,4436931;127,0905945;587,4550155;106,4037045;51,89734832;180,2153491;149,2366243;150,683731;82,28278822;181,9755507;168,090381;204,0697305;185,0879877;744,5358215;172,8307989;113,4014698;63,34733898;181,6186776;155,538465;135,4019782;105,3351281;152,0353104;161,8280463;159,7105709;101,9480343;936,8468014;140,1419983;157,018096;154,3289137;93,85142689;504,1733058;132,033916;83,16435705;167,6665846;796,767452;167,1506801;101,0268229;155,0573059;760,7942487;230,8485254;883,3006395;240,7349144;191,2072908;199,7775212;112,815782;138,271976;156,1422571;155,1664857;133,9094892;107,3800479;161,4004075;135,6598798;103,0361928;258,708916;159,1278641;936,8468014;146,1067393;225,3609582;195,2322151;232,6140488;191,124651;144,8725443
F1;851,5108815;742,6475069;165,9854255;92,27557827;322,5207914;167,5048619;821,754079;114,4891186;829,8345104;829,8345104;152,9330569;183,266402;141,5642119;155,4932775;144,3118682;139,9529784;813,5261925;112,9496998;52,17982718;198,2159635;132,6684871;158,0402854;90,34252892;728,766093;199,2223228;728,766093;728,766093;643,2519975;145,4540694;137,6443428;64,3676197;229,7998596;289,5196724;217,7761137;504,2541052;183,4800019;164,3235997;184,1252267;661,2257703;851,5108815;144,7490324;117,718218;112,9572087;110,9527834;362,0506785;76,66931905;621,144964;232,2924108;608,5977275;179,8927769;148,0704576;155,2127302;609,0205033;183,5523909;108,1655217;273,0554439;625,3146823;274,9421786;625,3146823;125,5901316;217,8612857;230,9921855;183,3161239;97,30109304;129,5963198;126,1198614;84,58417866;229,2676215;165,4854618;171,2227882;113,2924123;125,2712128;179,2951036;424,8958346;452,5612039;447,8332733
C4;887,4141382;622,495604;162,3700292;103,2983409;349,6730436;166,3658163;864,6644849;131,0179683;847,8970045;847,8970045;168,738486;203,2967179;181,4333538;177,8288534;212,3187633;167,0475664;830,7306502;143,1382129;69,67563967;202,105919;135,6790763;151,1879777;101,2488042;773,2460574;179,4925902;773,2460574;773,2460574;633,2786631;163,4953597;136,4972636;73,98581416;206,0607132;273,9927037;190,12915;480,0581176;188,8445622;170,4958572;176,6077074;700,5263065;861,2209647;190,899223;164,4090104;147,901311;108,8443848;369,3653083;96,95779232;624,649259;202,7598249;620,7658746;202,8275742;117,2074715;149,0712885;614,9253873;176,117275;112,9185079;263,14971;652,849129;272,6658896;652,849129;126,8769676;174,3090267;193,1851269;174,176676;131,2952644;158,0683468;167,9429724;124,2840614;207,9496614;142,7774307;205,033712;137,2411061;196,4419388;174,2388463;477,4854219;470,019305;457,5683279
