;ATCC35586;CIP102035;DSM20624;3Ba.2.II;RFA 345;DSM20590;JIP 05/93;LLS E 6926;F1;C4;JIP 19/00;JIP 23/91;1A4II;RFA F54;F48;F73;3BO4;5.27;F14;CP32;L1;F86;CP23;CP4;CP5;F29-1;F7;F44;LMA28;DSM20342;CP3;F33;Me I,5-02;131120027309;JIP 20/85 (3);DSM20344;F88;CIP100481;IFIP 710;9.4;JIP 14/92;F43;CIP101342;JIP 28/91;CIP101354;LLS R 919;MM 3365.01;MM 3364.01;F42;N15;CP11;CP12;F4;F84;CP14;F87;CP10;JIP 07/00;G117;L11;G97;RFA 295;6.2;JIP 169/77(3);JIP P04/83;JIP 05/93 (3);LLS E 6103;RFA 378;10040100629;8.1;L2;L3;L7;CP1;CP7;F2;EGDe
F2;336,1525086;947,9159059;941,1711922;761,7166923;26,85355677;119,0988093;937,3674306;936,8468014;851,5108815;887,4141382;878,8617235;791,0625082;826,3018428;212,4957805;961,5094691;940,1757627;886,687754;833,4822705;869,1387762;877,5986306;377,5176306;905,2468792;136,1124984;128,7175277;210,0553213;411,4097708;934,1236627;949,0186655;114,4633592;893,6043744;160,2022583;956,619653;858,0981474;37,91194181;927,2441346;905,8436002;176,6896626;738,7122835;956,0390278;442,7757472;957,3915477;757,5921385;159,7610863;856,2421181;919,4173749;889,0859267;32,44748724;31,22780337;962,8211914;910,7125846;909,5557651;142,6870609;885,4887017;874,4700706;968,4276935;879,0800171;120,0564452;914,7281622;954,3355977;938,7809489;260,2050455;306,1894767;811,4517715;32,96147083;920,0333085;945,8009328;902,1595825;37,08417084;30,88757308;954,6380799;960,9296234;967,692419;916,1763531;32,78741591;936,7959915;169,6129024;623,4240347
10040100629;412,4025832;855,3644996;770,0553907;675,1559647;111,1230857;818,5313686;937,3674306;936,8468014;742,6475069;622,495604;760,8471838;697,0525114;787,7631566;335,4707394;961,5094691;869,1275731;727,6744389;789,3775071;869,1387762;877,5986306;561,9703005;873,5147807;366,0190116;544,9092025;807,5472078;750,9623945;775,4872547;868,9495665;301,7799493;843,8176676;515,7359664;857,0791734;249,3951573;118,1454524;854,7257606;905,8436002;322,2480631;738,7122835;865,2978876;456,8038309;845,474139;679,2440763;288,9533387;835,6788803;891,2766558;889,0859267;99,64642219;120,3984065;832,0303845;885,0152926;858,4261682;308,1729608;867,2810045;871,8659845;907,6996938;579,6872453;340,4250609;901,4862111;888,6778716;491,0333919;306,2948737;737,1009188;694,5329612;122,362691;871,9758678;938,0600683;884,0602318;125,8809509;563,839705;842,1667103;867,768844;898,2589633;858,4030534;101,538341;853,227015316667;299,13242935;720,34855655
CP7;62,66548155;158,3802654;122,0280265;211,0313158;24,88989557;105,3997961;130,6846377;133,5945017;165,9854255;162,3700292;168,4689966;115,2801294;196,2696607;165,4185606;142,4537993;124,1583948;163,2109574;129,153909;154,1558038;161,6366221;111,5860785;158,9622565;113,3217634;143,4143889;67,87541518;105,9123788;111,9538019;111,3663557;90,49743372;162,4180925;133,9673037;95,0334918;118,6289915;17,72359704;113,2135584;201,5394349;162,1060759;233,6767861;122,3073601;119,6599089;125,0630722;345,1928666;147,9200042;856,2421181;204,6179219;193,6583509;27,4658659;29,26952885;115,990367;117,0551209;119,4385045;50,68211532;143,89102;156,4258329;84,15567884;123,6808682;116,3913641;124,0991559;137,0674997;126,5068147;202,2112365;162,3189111;184,8859625;32,67808485;142,1515319;132,3984733;173,7503291;42,70564549;28,94981825;139,0132226;111,8726178;125,6951432;117,2756645;32,58007462;116,102047466667;162,602966983333;93,55081673
ATCC35586;35,49705712;56,71269838;72,37532336;101,8126271;18,39672199;165,3307803;106,5857957;105,1288869;92,27557827;103,2983409;115,7854604;1,509218108;114,4298889;92,7251937;118,0416432;77,75077439;102,3194146;89,21950639;99,77095681;211,2807388;102,3136437;124,4196628;94,09423857;63,1997388;80,1179226;56,79438438;88,98761667;79,19644044;59,99288107;130,6072252;87,14609778;56,38765131;128,9104879;32,39757873;77,30178732;161,6935994;111,7927167;23,77376338;84,76772031;79,19243768;95,35764536;115,0521774;102,7527115;94,40417844;135,0960644;130,1722377;33,28534839;29,71799232;79,87698454;81,87463608;98,19951291;100,4457555;106,6992434;115,4857947;73,13266359;98,5837905;78,45671854;104,4414041;114,3150977;104,0844599;157,3417463;119,5196592;141,5865157;39,48027123;117,4752178;103,1036558;142,1462121;36,34288927;22,81984916;118,4147601;85,51570694;92,51269184;151,4466417;38,87015879;85,6417290333333;103,196377278333;53,58357875
DSM20624;52,84073834;343,1620971;146,773162;290,1232304;6,615312032;272,9708357;158,9147367;161,2966021;322,5207914;349,6730436;231,9095558;98,38666807;786,5155224;195,301873;207,3138557;171,5320315;219,6350122;181,1269192;613,5347751;210,8374683;155,9981834;223,1417767;141,6532649;107,023423;129,9952827;129,7896695;155,1713944;131,3627328;104,3622058;231,2118237;139,5122744;130,8854112;222,1862967;22,25346528;178,9081001;852,2604651;215,6133937;31,06692455;154,8468272;145,3453647;154,4010962;239,3044302;186,628422;772,9056633;226,1760753;222,8894575;19,98240805;22,05248952;152,1207034;139,8296307;153,6745939;143,9477151;199,0084266;205,4172812;114,070093;159,3947893;113,4364219;137,930579;165,3691528;162,4776692;240,321985;204,8531216;246,8784084;26,06107007;340,2501846;168,6704676;271,0843461;32,65717626;19,56741378;181,1326909;146,2561613;146,6391379;129,8330354;29,96088714;173,201211516667;195,694451366667;112,4029463
1A4II;52,85051542;80,56964765;106,7856408;188,7407487;16,08850934;228,067444;125,541468;121,3521911;167,5048619;166,3658163;167,8724976;52,20189401;199,3057655;160,3098931;162,3677946;138,8290381;183,0141612;141,2442174;156,3069951;155,487778;112,5740761;146,4264059;109,8905766;106,8634984;107,7006061;97,47084934;114,3903949;115,539586;96,67605096;202,2830119;112,3750553;107,9904724;180,7023527;24,2606955;126,5556299;262,2055303;176,6627515;35,36710697;135,4667459;114,6809434;136,719847;172,7294913;150,8986432;155,2150049;181,2390732;175,8441514;27,54966336;23,6420191;123,090961;114,1807456;122,9935545;115,1537152;155,7024387;145,9882318;99,75113708;151,9804439;92,93009103;121,450039;133,9255526;139,4841012;242,8325219;167,4612604;188,1938088;33,53713769;178,0184938;146,2353215;191,8525673;35,89355895;17,93943216;150,4318569;107,4984829;127,3388689;117,438815;31,28855167;117,53976345;178,445757016667;97,598347
L1;179,1255751;905,8897813;912,8973263;757,8820682;10,77694856;759,9988067;885,6543855;890,4025024;821,754079;864,6644849;832,0777203;639,5329635;786,5155224;207,1275591;878,1624441;872,5684335;845,7275306;729,0416395;850,3616131;732,4971428;116,380618;823,7599179;90,26799625;131,7790497;146,423611;211,6875832;133,8387012;898,3402013;87,70063349;879,9225138;140,2566279;862,1077182;313,137101;15,34896718;905,7836433;852,2604651;192,6209244;25,47060419;910,4323751;473,8124225;337,4649373;691,3013083;188,1059419;772,9056633;842,426797;824,6550805;15,69475451;16,96109322;923,6006747;854,4002629;889,3289318;118,9105234;805,0678656;786,7160104;958,311844;815,967287;85,20351498;921,4363865;906,3547609;884,8022884;492,1701253;364,8659622;776,606848;24,00796932;858,2747204;894,8925411;816,4007815;21,77970001;16,56118929;907,4471899;923,8630256;916,313031;651,2952385;22,11310241;825,072708933333;187,403905916667;125,1165646
CIP100481;37,21974555;57,18037735;104,788613;164,6336213;10,9742063;163,5887379;109,1266883;124,1394888;114,4891186;131,0179683;132,2325699;35,35125863;162,1019594;127,5779178;125,5522796;70,067731;115,6604901;114,3470012;140,4128276;104,2130056;100,6284426;146,9508578;104,1435917;74,13121159;76,07582664;73,35208551;94,19755655;96,08940893;95,94938986;128,3106529;104,5651605;79,54290702;133,6044974;20,19823014;100,9693201;165,9081624;134,4002723;144,8586162;97,52521339;93,69175128;91,18407543;129,4475731;120,704701;119,8543608;131,8336275;141,7107502;19,19225912;16,37760124;84,03481194;90,38250728;102,2142871;100,7775948;106,5294413;127,2264519;76,30791837;98,20984493;102,3904677;110,1938156;106,8671099;100,1447768;170,5565558;138,680033;133,4591582;16,43209605;131,1637435;109,7372764;132,4389272;17,39445738;20,96671157;126,9859819;79,17738207;91,51734901;79,47090614;16,19427738;77,54584656;305,945378366667;63,658386925
DSM20344;35,90113987;323,9359339;952,173073;401,5664763;12,69151168;781,5525932;888,8666488;874,8351739;829,8345104;847,8970045;840,1250575;335,4062816;831,0364078;823,2690185;882,6565734;882,1496769;195,7474938;934,2397428;448,3397033;114,2417884;130,1469991;183,3929833;120,9960931;97,12381796;114,9058142;122,8186036;171,1554805;207,4889385;104,4474416;136,0291294;98,66094808;192,0136039;835,8521645;25,34272818;423,5709359;184,8867788;189,5196457;743,591407;266,2277494;271,4901339;386,0363751;752,8134638;187,976736;801,116168;863,3901783;838,8637611;27,26467281;21,27736558;182,8530851;326,424621;878,2511429;115,8996504;811,071647;818,386853;277,4089208;835,7456331;86,18373561;929,7499514;896,1139326;322,0312281;762,1028085;828,8135974;275,4430721;24,93393755;866,8097554;901,1270703;848,8361068;13,61940827;18,18152814;910,1917742;180,4312422;918,5408414;125,9700553;24,96682169;154,61540555;194,233989316667;59,635772745
F88;322,6160424;905,2717443;881,2345133;492,9180433;16,30670471;781,5525932;888,8666488;874,8351739;829,8345104;847,8970045;840,1250575;678,9073218;831,0364078;166,2338593;882,6565734;882,1496769;850,4548373;712,8169692;759,2755929;820,4762688;909,4722956;830,5439994;105,566598;134,4477285;188,2861123;867,5105108;894,3785273;887,7286292;115,2021721;844,2657257;154,8307764;928,6574161;835,8521645;32,7743017;389,9533976;832,0480818;147,183676;743,591407;923,711307;434,9498841;923,1052338;752,8134638;136,3559353;801,116168;863,3901783;838,8637611;27,45243408;27,31551717;925,4267552;887,8536246;878,2511429;120,8018267;811,071647;818,386853;926,4713589;835,7456331;124,1218325;929,7499514;896,1139326;287,0984506;243,4472597;828,8135974;419,4988345;22,16060907;866,8097554;901,1270703;848,8361068;21,97031796;29,31564926;910,1917742;918,1731386;918,5408414;271,3957272;23,6369842;848,868732116667;152,530101266667;637,943752
