Strains;Carnocyclin B593;Carnocyclin B344;Carnoglycocin B629;Carnolysin A1/A2;Carnobacteriocin BM1;Carnobacteriocin BM1.2;Carnobacteriocin B2;Carnobacteriocin B2.2;Piscicolin 126;Piscicolin 126.2;Carnobacteriocin B9.4;Carnolactococcin B8.1
JIP 28/91;0;0;0;0;1;0;0;0;1;0;0;0
CIP101354;0;0;0;0;1;0;0;0;0;0;0;0
LLS R 919;0;0;0;0;1;0;0;0;0;0;0;0
MM 3364.01;0;0;0;0;0;0;0;0;0;0;0;0
MM 3365.01;0;0;0;0;0;0;0;0;0;0;0;0
F14;0;0;0;0;1;0;0;0;0;0;0;0
F48;0;0;0;0;1;0;0;0;0;0;0;0
F73;0;0;0;0;1;0;0;0;0;0;0;0
RFA 378;0;0;0;0;1;0;0;0;0;0;0;0
JIP 05/93;1;0;0;1;1;0;0;0;1;0;0;0
DSM20590;0;0;0;1;1;0;0;0;1;0;0;0
8.1;0;0;0;0;1;0;0;0;1;0;0;1
F4;0;0;0;0;1;0;0;0;0;0;0;0
F84;0;0;0;0;1;0;0;0;0;0;0;0
F42;0;0;0;0;1;0;0;0;0;0;0;0
CP14;0;0;0;0;1;0;0;0;0;0;0;0
CIP102035;0;0;0;0;1;0;0;0;0;0;0;0
CP1;0;0;0;0;1;0;1;0;0;0;0;0
CP4;0;0;0;0;1;0;1;0;0;0;0;0
CP5;0;0;0;0;1;0;1;0;0;0;0;0
F7;0;0;0;0;1;0;0;1;0;0;0;0
DSM20344;0;1;0;0;1;0;0;0;0;0;0;0
CIP100481;0;0;0;1;1;0;0;0;0;0;0;0
9.4;0;0;0;1;1;0;0;0;0;0;2;0
IFIP 710;0;0;0;1;1;0;0;0;0;0;0;0
F2;0;0;0;0;1;0;0;0;0;2;0;0
F88;0;0;0;0;1;0;0;0;0;2;0;0
10040100629;0;0;2;0;0;2;0;0;0;2;0;0
LMA28;1;0;0;0;1;0;0;0;0;0;0;0
